KIND,codicon,lspkind,my
-------------,-------,-------,--
Class,,󰠱
Color,,󰏘
Constant,,󰏿
Constructor,,
Enum,,
EnumMember,,
Event,,
Field,,󰜢,󰓼
File,,󰈙
Folder,,󰉋,
Function,,󰊕
Interface,,
Keyword,,󰌋,
Method,,󰆧,󰊕
Module,,,󰋺
Operator,,󰆕,󰦒
Property,,󰜢,
Reference,,󰈇
Snippet,,,
Struct,,󰙅
Text,,󰉿,󰦨
TypeParameter,, 
Unit,,󰑭
Value,,󰎠
Variable,,󰀫,𝜈
